Review Title,Review Text,Review Date
Amazing service at fitness centre,"Lucy and Roselyn were attentive and helpful with my needs. Both of them were very attentive and pleasant. It was a pleasure working out in the fitness centre . Thank you very much Mariana Bay sands.

With a lot of love,
Sivakanesh Sanmugam Ettikkan",Date of stay:
One and Done,"Eh, a lot of money; better to just visit and stay somewhere else. It's not near anything, and the restaurants are way overpriced. Yes, amazong architecture but I say one and done. If need be just stay one night if you must so you can go to the pool. That's a nice experience.",Date of stay:
The best if the best 5 star hotels,"We’ve been to luxury/5 star hotels before but this is a true cut above! Buffet breakfast was unbelievable, room and view couldn’t be beat, could even sea Gardens at the Bay Supertree light show from it. Convenient to so many places. If you have a voice make it this hotel in Singapore! Honey in guest services was the best, helping us with everything! Hotel is spectacular, light shows fantastic!!",Date of stay:
Excellent Hospitality,"I’m writing to express our sincere appreciation for the wonderful experience we had during our recent stay at MBS Hotel. From the moment we arrived, we were impressed by the warm welcome and excellent service provided by your staff.

The complimentary room upgrade that we received during our stay from Mr Shawn, the Executive Director, was absolutely stunning, and we were thrilled to have the opportunity to experience such luxurious accommodations. The room was spacious, clean, and well-appointed, with all the amenities we needed for a comfortable stay.

What impressed us the most, however, was the exceptional service provided by the hotel staff. They were always friendly, courteous, and went out of their way to ensure that our stay was enjoyable.

I must say that our experience at MBS hotel was truly exceptional. The room upgrade made our stay even more incredible and it added this once-in-a-lifetime experience for my husband, together with our young kids on my husband’s birthday.

I would like to commend the staff for their outstanding service and thank you for creating such a welcoming and comfortable environment for your guests.

Please feel free to share my feedback with your team, and I look forward to staying at MBS hotel again in the future.",Date of stay:
Very nice experience and super nice service,"Service in the gym was very good. Everything was organised and nothing was broken. Staff was extraordinary friendly.
It is not a large gym but it covers all of the essentials. They even have a set of Theraguns with is very outstanding. I will defined visit again.",Date of stay:
Nice gym,"Very clean and organized small gym, with a decent selection of well maintained equipment. Oddie and Ume were very friendly and always there to help. I would recommend this to a friend and visit again.",Date of stay:
"Convenient and very nice rooms, but not the best value for $$$","Mixed feelings. It's very convenient and comfortable, but also not the best value for the amount of money. I also didn't like that I felt that the hotel tried to upsell me at check-in for the same room.",Date of stay:
Fantasy Rules!!!,"The place is enormous! Everything is very grand. It's pricey as you would expect but it's a world unto itself. The pool is such a delightful time but make sure you go early or during check out time to get a lounge by the pool. The views can not be described you have to see it to believe it. We stayed in Tower 3 but all towers have amazing views. What we didn't like were some rules they had about what shoes men could wear to the restaurant by the pool. Men can not wear sandals, even expensive ones but the ladies could. And this was just to get a drink. The hostess was not very gracious in explaining this to us and she was difficult to understand. It left a bad first impression on us as we just arrived. What saved this visit were the light and water shows, the views, beautiful rooms and the wonderful concierge Din. He spent so much time planing our time there and made every effort to make our stay fun and found the kind of places we were most interested in. The mall attached to the hotel is also a maze of shops and food court. The food there is just OK, better to go to China Town. I don't recommend Little India for a visit. It felt unsafe (saw a drug deal right in front of us) and very dirty. Stay around the hotel where there are many food options. It's quite the experience.",Date of stay:
Impeccale hotel with best gym facility,"MBS , without a doubt is sheer absolute one of best hotel in Asia. I got sands premier room upgrade and it is newly refurbished. They have also new gym with impeccable staffs namely Uma and Rocelyn. I recommend MBS for your city gateway.",Date of stay:
Very nice staff at the Marina Bay! The employees are very well trained and polite. I loved every interaction we had.,"Loved it! The staff is amazing. Special thanks to Chanoy (I’m not sure if I’m writing it right) and Ben from the fitness center! The hotel is wonderful, the rooms are very comfortable. I’d definitely come back again.",Date of stay:
Amazing premium service from MBS,"We had an amazing bday celebration for our mothers. We booked 3 beautiful rooms. MBS Premium service was amazing. No need to queue for registration. Registration and payment can be done inside the room. The newly renovated rooms are better than the rooms we booked previously. The staff are also more hospitable now, a lot of Filipino staffs were also there to assist us from the moment we arrived and assisted us until departure. The service has really improved a lot! We will definitely recommend to our friends and family who will visit Singapore.",Date of stay:
Amazing,"Amazing.
All the pictures you see are true.
Forbes voted it one of the best hotels In the world!
Great views over the city from the pool.
Hospitality is second to none and nothing is too much trouble.
Great shopping mall underneath and the hotel as @60 restaurant to choose from",Date of stay:
Excellent Location and a Great View,Excellent location and a great view. There is a MRT just outside tower 1 and it’s a short walk to the Gardens by the Bay. If you want to splurge go for the Premier City View rooms on floors 32 and above. If you stay in tower 1 you can take an elevator directly to the famous infinity pool on the roof but if you stay in either of the other two towers you’ll have to take two elevators up to the pool. Even if you stay in the less expensive rooms you still get to use the pool and other guest only areas and you can always enjoy the view from the roof.,Date of stay:
A very new and cleanest room ever!,"rooms are pretty big, clean with spectacular view of city. love the service and room dinning experience and the gym equiment at the shopping mall. Appreciated the sand lounge check in area and the helpfull staff over there",Date of stay:
The best hotel,"A superb experience from start to finish. Lovely rooms. All staff were friendly, helpful and professional. One of the best service we have ever received in the hotel. Definitely the best place to stay in Singapore!",Date of stay:
Fitness center,"The staff at the fitness center on the 3rd floor of the convention center were friendly and made my stay comfortable. They come from Thailand, the Philippines, and Myanmar and have wonderful smiles. The facility is clean and I am very satisfied.",Date of stay:
Best hotel in Singapore,"We throughly enjoyed our Marina Bay Sands and if you are in Singapore and thinking of staying here DO IT it is worth every penny!
A huuuge thank you to the kind gentleman who checked us in we think his name was Arty or Andy as he upgraded our room to one of the newly renovated premier rooms free of charge which made our stay even more special, the premier rooms are luxurious and have everything you could need along with a stunning view of the gardens.
The hotel facilities especially the rooftop infinity pool and sky observation deck (which you can visit as many times as you want) are amazing you can continue to use the facilities once you have checked out which is an added bonus. The breakfast has soo much choice and we had dinner at the Lavo restaurant which was fantastic.
We would definitely stay at MBS and highly recommend spending that little bit extra for their premier rooms. Thank you to everyone for a fantastic stay.",Date of stay:
Cleanest and tidiest room I’ve ever stayed in.,"Stayed at Tower 1 for 6 nights. Very comfortable and clean rooms. Spacious and newly renovated.
Room service was 5 stars. The attendant, Ms. Ya Way, kept the room immaculate and was extremely polite and attentive.
Also the check in and checkout team are to be praised as the service was quick and flawless.
An experience to repeat.",Date of stay:
Marina Bay Sands Hotel Mr. Ray The Guest Service,"I would to extend my compliment to Mr. Ray, the guest services of Marina Bay Sands Hotel. I appreciate the unexpectedly amazing service when I last visited MBS on 5 November 2023 to 6 November 2023, Tower 2,1199. His patient & having a caring attitude is worth commendable. Thank you MBS for having such a wonderful staff.",Date of stay:
Unforgettable experience!!!,"Our stay at Marina Bay Sands was excellent!!! The infinite swimming pool and the jaccuzi are experiences that cannot be described in words! The service of the staff in everything we asked for was immediate and always extra large positive! I would like to give a special mention to the gym staff at the fitness center, Chanok and Oddie, for their professionalism and hospitality, they made us feel very welcome and treated us like we were special people! Thank you very much for everything! We hope to return to Marina Bay Sands hotel soon!",Date of stay:
"Great ambience, lovely staff.","The gym was clean, beautiful and well equipped. Lucy and Chanok were very helpful and welcoming. They even gave us a tour around. There were ample refreshments and they even had wireless headphones available.",Date of stay:
What an amazing experience,"What an amazing experience we had staying at Marina Bay Sands. From the moment we got out of the taxi and were met by Ian who was so friendly and helpful, we knew we were in for a treat. At the reception desk, we were served by Ruchelle. She greated us with kindness and warmth and ensured the kids were spoilt. We were only staying one night, as a treat for our daughters birthday, and when Ruchelle found that out, we were upgraded to a VIP suite. We enjoyed canapes and drinks, buffet breakfast, drinks by the pool and our Butler Charm, even brought a birthday cake up to the room! Thank you Marina Bay Sands and especially Rushelle, Ian and Charm for treating us to a stay at MBS that we will never forget!",Date of stay:
Awesome staff in the fitness center!!!,"Excellent staff in the fitness center, they are so friendly!! We had a great time there, talked about our trip and also about many cool subjects. They even gave me a 2$ note souvenir. Thanks so much for your attention, guys!!",Date of stay:
Great treamtment,Thank you Oddie and Chanok for an amazing service. Very kind and helpful. The gym is very nice and clean and we got a great treatment from all the people working there. I recommend the fitness center!,Date of stay:
Amazing stay at Marina Bay,"Super friendly staff, top service at the hotel.
As a gym-goer I had a wonderful experience at the gym with the gym staff. Protein and booster are offered.
It also has a vast amount of stores with delicious food",Date of stay:
MBS gym,"I have come to the gym at MBS weekly in the past months and I'm happy to say that I've found a nice space where I can workout in peace and learn the basics of calisthenics.

Ben is the instructor that has being teaching and guiding me in calisthenics strength and conditioning with patience and knowledge.

Nice atmosphere for a workout, clean and tidy as well as polite, helpful and caring workers, always with a smile and willing to help you with anything.

Kudos to all of them, specially to my instructor Ben!",Date of stay:
Marina Bay Sands - a Great Place with amazing staff!!!,One of the best hotels with amazing staff in the world. Huge Thanks to curb-doorman Jeffre David Drilon who assisted us with our issue. Would recommend to visit this wonderful place with the great roof pool.,Date of stay:
Revisit to MBS Gym,"MBS Service has been impeccable especially with Uma and Roselyn who have been so friendly and attentive to our needs even in the gym. Now less convenient to reach from the Towers, it is located above convention hall L3 with a slightly bigger area for all the gymholics.",Date of stay:
Revisit to MBS,"Pillow is a little too hard at our T3 room. Visited the new gym now located at L3 convention hall. No longer at Level 63. View is no longer as wow as before.

2 very attentive staff at the gym, being served by Uma and Roselyn. Customer obsessed service. 2 thumbs up!!",Date of stay:
Amazing experience,"Our experience at the Marina Bay Sands Hotel was out of this world.
It was my husbands 60th birthday and they upgraded our room to a Premier Suite with a city view from the room we had booked.
The suite was incredible, never seen anything like it.
We were shown to our room by the guest relations lady called Honey who was amazing, she explained every little detail of the room and how everything worked. Honey was so efficient, friendly and welcoming.
The hotel arranged for a bottle of wine, chocolates and birthday cake to be delivered to the room which was a beautiful experience.
Nothing was too much trouble and Honey kept in contact with us during the stay, making sure everything was ok.
Everyone should have an experience at this hotel.",Date of stay:
Superb hotel,"Overall feedback, the hotel is very good in every aspects.
I.e : clean room, good customer service, wide spread food choice and great hospitality.

MBS hotel staff are very helpful especially, Ms. Susee from the Concierge Paiza front lobby , who is friendly and resourceful.",Date of stay:
It's all about the pool!,"Was expecting great things from this hotel.

Had wanted to stay here since hearing about it's reputation and from people who've stayed here.

Our room whilst nicely appointed and had a stunning view over the city was I thought a little underwhelming for the price (we paid about $AUD 860) and didn't include breakfast.

If you stood at the end of the corridor next to our room you could have another great view so dragging a chair out there is a good idea.

A large part of it's appeal is THE (rooftop) pool! I had to experience this as it's well promoted and didn't disappoint. There were plenty of people taking advantage of it at the time but it wasn't crowded which was great. The views over the city are stunning but it was lightly raining that day and was ""freezing""! About 19/20 oC! I was still going to enjoy it though. There are some shops up there but I didn't have a good look at them and think that they were just bars/cafes. They had lifeguards that were in the water constantly presumably so that if they have to ""rescue"" someone they can do so quickly. Easily spotted by their wetsuits.

At the ground level there were a lot of shops and restaurants but also had an escalator that took you to the shopping centre across the road. Allow plenty of time to get around it as there's a number of floors and the food court alone was a 15-min walk.

Great place to stay. Would do so again.",Date of stay:
Short Luxury Stay,"We spent 3 nights at the MBS on the way home from Thailand. Nice newly renovated room on a high floor with Garden views.

The room was a good size and well appointed. The bed was extremely comfortable. The balcony had great sunrise views over the water, but you could also see the supers grove and watch the nightly lightshow(and even hear the music that it was set to).

Staff were very friendly and helpful.

The pool has fantastic views and there were water and sunscreen stations. I personally found the pool area too crowded, as this is a bucket list item for a lot of people so lots of people in the pool taking photos..it was even more crowded on the weekend. Even at 10pm there were lots of people in the pool. It is a great experience though and the staff always managed to find is deck chairs even when it was busy.

We are at Bread Street in the Shoppes and also Spagos on the Skygarden level. Both different, but great food and service. We also had room service breakfast one morning, which is a great experience not to be missed.

I used the gym every morning. Good gym, staffed and usually busy at 7:30am but had everything you need.

Minor issues, but in our opinion the drains smelt, even on level 39. The smell seemed too come from the floor drain in the toilet and also in the shower. It also took a long time for the hot water to heat up in shower and sink. Minor gripes but people could find the drain smell off-putting.

We’ve stayed in lots of hotels in Singapore over the years but this was the most luxurious, but be prepared to pay big $$$ for it.

Well located on top of Bayview station to get around.

If you want a luxury stay and are prepared to pay for it, this place is highly recommended.",Date of stay:
"Marina Bay Sands, a place well worthy of your bucket list","It was 2010 when I first visited MBS. Since then, our family always visits Singapore at least twice a year and stays at the same hotel. Thank you for remembering us after all these years.

Every stay at your property has been superb. But our most recent stay was out of this world! We particularly appreciated the extra-attentive treatment as we were introducing our friends to stay with MBS for the very 1st time. This started with the complimentary limousine pick-up service the moment we landed at the airport; followed by being greeted at the hotel by the guest relation ambassador, Pauline Alcazar who guided us through the in-room check-in service.

Our friends loved, above all, the rooftop infinity pool, where our kids spent hours enjoying the sun and the poolside snacks. (Please try out the chocolate chip cookies!)

Our newly renovated room was located in Tower 2, mid-floor. Loved it! Absolutely the best angle to watch the 8pm lightshow! And even though it was a short 3d2n stay, our kids took so much advantage of the in-room dining and walking across to the main shopping mall.

On our last day, guest service gave us an extended checkout time so that the kids could enjoy an afternoon swim before we headed to the airport. The amazing guest service crew, Honey Casquejo arranged a limousine to drop us off at T4.

Everything at MBS, including the staff (especially Michael Lee who leads the Concierge and Guest Services) once again created unforgettable memories for me, my family and now also my friends, who have already started planning their next trip to MBS.",Date of stay:
If you don’t spend your money on Marina Bay Sands your children and grandchildren will so just do it.,"This building has become the icon of Singapore for good reason. We stayed 2 nights as a end of holiday treat. Check in was busy but easy. We got a level 33 room with stunning views over the gardens and out to sea across to Batam. Well worth spending the extra for the room. It was big and very well appointed. All the staff are courteous and helpful. The pool on the roof is amazing but does get crowded. I found early morning swim best to avoid all the instagram wannabe models posing for photos but each to their own . Personally I wanted to enjoy it for myself rather than convincing the rest of the world how much of a good time I was having. But yes I have to admit to taking a selfie by the edge of the infinity pool. We had the breakfast buffet on the roof top which was up there with the best of them. All the choices you could ever want. The area around the hotel is good with plenty of attractions within walking distance.
Yes it was the most expensive hotel room I have ever booked but yes it was good and yes I would recommend that you do too.",Date of stay:
Gym experience,It’s a very pleasant experience to work out here. Oddie and Roselyn are very hospitable and definitely quality in their service. They provide free coffee and snacks as well. Would definitely come back here again.,Date of stay:
Overall good,"Overall good Service from Oddie and Roselyn :) Free Water, Coffee, Towel, Appels etc. Pretty much space and just a few people here. Ein Laufband hatte Probleme mein Herzschlag zu messen aber das ist okay.",Date of stay:
Nice and relax,"Staff are very nice and helpful...the environment overall is good, got motivation song and got qr code to scan and teach us how to using the equipment. Some more also got a complimentary coffee and tea. Love it..",Date of stay:
Great experience / amazing view!!,"Excellent experience in Singapore ! The pool and the view from all restaurants and bars at the top is unique and amazing! Great ambiance! Everything is practical, clean, and smells wonderful (kudos for the lifts!)! It is however very crowded even in low season. That puts a dent in the feeling of luxury and exclusivity that you would expect for this price range.",Date of stay:
New gym a place to visit,Gym staff Uma and Chanook were very polite and knowledgeable about their roles. They made our visit very memorable and worth it. They gave us ideas on our work out too. A thumbs up to their supervisor.,Date of stay:
Phenomenal!!!,"This hotel is the best of the best. The service is terrific. The mall and the Gardens at the Bay combine to make it a memorable visit. But the pool- OMG, it is phenomenal- spending time there is heavenly!!! Having a three course lunch at Spago (with wonderful waiter Mark) is top notch.
But we must give a shout out to the most wonderful concierge Din, he was so very patient solving our dilemma and making sure our stay was so special. He is a valuable asset to this hotel!",Date of stay:
Breathtaking in so many ways,"This iconic building gave us a fantastic holiday experience, we loved every moment.
The location is excellent for easy walking access to all the Marina's attractions and Gardens by the Bay.
Welcome by the porters and reception staff was personal, friendly and efficient. Each member of staff we met added extra value to our stay by their helpfulness, care and concern for our welfare.
Our room was large, beautiful, well maintained and furnished in contemporary style, the bathroom similarly so and impeccably clean. We had a super view of the harbour and Gardens by the Bay.
Breakfast was a delightful experience, high quality, buffet style, lots of choice, attentive service.
Check out was swift and a pleasant experience.
One cannot visit this hotel without being thrilled by spending time at the top floor swimming pool, so big, warm and welcoming, lots of sun loungers and what a view - wow!
The design of this architectural master piece is a joy to behold and the foresight that went into developing this amazing holiday experience is quite phenomenal and so impressive.",Date of stay:
Best gym,Miss Chanok and Mr Oddie are very helpful and competent in providing a pleasant experience at the mbs gym. I really enjoyed working out here and the staff was very helpful. Thanks I will be coming back.,Date of stay:
Average - style over substance?,"I paid the fee to be an additional guest in a room during a recent stay so that I could use the hotel pool facilities. I thought the pool was great and a fun place to be, despite it clearly being a instagram spot where everyone was focused on getting the perfect picture. The pool drinks service was great and my server Christy was very personable and attentive.

Overall the pool is fun and a great place to hang out. However, the hotel is really busy in felt like I was back in Las Vegas. It’s a very impersonal experience and you are just one of many people staying there. We were told that on one of the days they were expecting around 1000 new check-ins. This felt like the case. The general hotel areas were busy and there were people and suitcases etc everywhere. I was so glad to be just using the pool and retreating to the Ritz at the end of the day.

To be fair it depends what you are after. I think this hotel is style over substance. If you want the pool then great. If you want a high end personalised service then stay somewhere else.",Date of stay:
"If I could give a 10/5 I would. Best ever hotel stay, in a world of amazing hotels. From airport arrival to departure.",Perfect. Plus. We had high expectations which were exceeded at every step of the way. This was by far our best hotel experience. Ever. The communication before. The impeccable arrival through easy departure and everything in between. Amazing.,Date of stay:
"Wonderful, Wonderful","This hotel dominated our city photos, we decided to stay here for the weekend. We had a glitch with garden tickets, the concierge here was so helpful and patient. Remember he has over 4,000 people here to deal with on a daily basis. Din took the time to stay with us and resolve our ticket dilemma- service extraordinary. Room over looks skytree tops so we can view display at night. It is just wonderful. We can’t wait to head poolside- the infinity concept at this height is breathtaking",Date of stay:
Nice stay,"We recently stayed for 2 nights (3 days).

Like most other reviewers we came to experience the pool and the view from the pool.

We arrived around 10:00am and we did have to queue at the check-in counter for perhaps 30mins - not sure why it seems to take so long to serve each guest. Our room was not ready - which did not surprise us - but we were given temporary cards to use the facilities.

Luckily we had packed our swimwear in hand luggage, so we went straight to the pool deck and changed. There were plenty of lounge chairs available - however no surprise the ones with a little shade were all taken. The pool is spectacular & water is a lovely temp. There seemed to be limited places in this area to get a photo of the city buildings - without the pool/all the people in the pool - unless you're actually in the water. You can get an unobstructed photo/view the other way towards the harbour - but otherwise the observation deck is the best option.

Reception contacted us by email/WhatsApp around 2:30pm to let us know our room was ready. Luckily we did not have to queue again to receive our permanent keys.

We were on 41st floor with Harbour View Room - the view was great. Our room was lovely, king sized bed & large bathroom, with good selection of toiletries and a huge TV - but as would be expected from a 5 star hotel.

We found all the staff to be friendly - always saying hello etc.

Breakfast we had down on lobby level at Rise - extensive selection. We waited for approx 10 mins each day to be taken to a table (both days this was after 9:00am).

Checkout was at 11:00am - which was seamless. We were not leaving Singapore until later that night so Valet rep came and grabbed our suitcases for safekeeping. Another staff member approached us in the queue, took our keycards and told us all done. However we went back & checked & spoke to another lady who then provided us with temporary cards to enable us to use the facilities until we were getting picked up later that night. We did not know this option was available to us, otherwise we would have packed our swimwear etc in our hand luggage.

We did visit the observation deck later in the early evening with these temporary cards - so they did come in handy.

It's a very busy hotel - the staff try hard to make it not so impersonal but it does seem a little that way. We did enjoy our stay here - but don't believe it's value for money.",Date of stay:
I love infinity pool,"It was an amazing experience for my 1st time staying here and going up to the famous infinity pool. Shout out to every staff at the pool side who gave excellent service the whole time we were there, will definitely come back.",Date of stay:
"Great room services, fantastic city view from the hotel, convenient shopping environment, my favorite restaurant Mott 32","Me and my husband had a wonderful day at MBS hotel, we stay at city view room and it gave us a splendid view from the hotel. We even can enjoy the night music show from our room. We wish to go back soon!",Date of stay:
Wonderful hotel,"One of the best hotels we've stayed in. The views are amazing and the service is good too. We stayed for only one night to experience it as the price is not cheap, but overall it is a wonderful experience at a luxurious hotel",Date of stay:
3rd visit to Marina Bay Sands Hotel,"Went to MBS ( Marina Bay Sands) for third time

Pre Registration thru MBS App:

Very convenient and efficient
Scanning of passport / National Idenifty Card ,followed by face scanning ,all thru your own mobile phone

Went to hotel lobby at 2.10pm

Digital key was activated

Then made 2 options
- one - pay room deposit via registered credit card
Two- pay refundable deposit at counter

After making choice , then face scanning in app

After that, i was assigned room at tower 3 level 44
Went to room , changed into tee and short. Then inspect room , take pic , then went to level 57 for pool
Again, swimming pool very regulated, crews made inspection to ensure area clean

Finally went to pool area, order cocktail
Then swam for a while , admired the scenery

Till crew told everyone to get off pool due to bad weather.

Thus i finished my cocktail and went to lift

At lift which was crowded, i had
difficultly tapping digital key card via phone.
Lift don't stop at my floor, then went down
to ground floor then i tapped again and press level 44
Finally reach my room ,and then ordered in room dining .
Within 40 minutes, food arrived
In room staff very service oriented ( very good)

After light meal, go and take light nap
Then request evening turndown as well as retrieval of dining tray.

Went to counter to request for physical key card as digital keycard sometimes took a while to respond ( due to my phone network issue. I had to switch to MBS wifi)

Went to Gym at Sand Expo and Conventiom Centre level 3

Staffs are nice

Had brief work out

Then went around window shopping
Return to hotel room at late night

Purchased breakfast at Bloom & Origin and went back to room

Check out by inserting card into Checkout Box

Thk for great service , MBS

I will return when the hotel fully completed renovations with Club rooms , club lounge at level 55",Date of stay:
Best Hotel Ever,This is one of the best hotels ever. The service staff were so kind and check in was a breeze. The room itself is bright with many luxuries and most of them have a balcony overlooking Gardens By The Bay. The restaurants and the mall are also great with lots of dining options and shops,Date of stay:
Marina Bay Sands - You must visit and stay!,"If you want to experience luxury then this is the hotel for you. Marina Bay Sands did not disappoint.

From the moment we stepped in the hotel, we were greeted and welcomed by the staffs. Special mention to Ferrari in Rise Restaurant who went far and beyond in accomodating us. Special thanks to the pool attendees (Ryan, Christy and Jaysen and also Ryan the lifeguard). They were very friendly and prompt in their service.

MBS is a must place to stay if you are in Singapore.",Date of stay:
I had a great time.,"I'm satisfied with everything. The hospitality started before we arrived, and as soon as we arrived we were guided to the building and our room, so we didn't have to worry about getting lost. The view from the terrace is amazing and the infinity pool is a must-see.",Date of stay:
Thank you Xavier,"Dear Xavier

I hope this message finds you well. My wife and I wanted to take a moment to express our sincere gratitude for the extraordinary assistance and warmth you extended to us during our recent stay
Your dedication and commitment to guest satisfaction truly made our experience memorable and exceptional.

Your thoughtful gesture in making my wife's birthday special did not go unnoticed, and we greatly appreciate the effort you put into ensuring every detail was perfect. Your exemplary service reflects not only your personal dedication but also your role as an Ambassador of this esteemed hotel and a member of Les Clef’s D’or Singapore.

We were thoroughly impressed by your professionalism, attention to detail, and genuine kindness. Your passion for your work shines through, and it's evident that you go above and beyond to ensure guests have a wonderful stay.

As you mentioned your future plans for a visit to India, please know that you have our contact information. We would be more than happy to return the favor and assist you in any way possible during your stay in India. Whether it's recommendations, travel tips, or any other assistance you may require, please do not hesitate to reach out.

Once again, thank you so much for your outstanding service and for making our stay truly special. You are a credit to your profession, and we wish you continued success in your career.",Date of stay:
This hotel certainly has the WOW effect.,"Wow this hotel and all the amenities were amazing! Stayed 2 nights. The rooftop pool was absolutely beautiful, views over the city. Daytime lovely and nighttime swimming was out of this world.
What sets this apart from other hotels we’ve stayed in are the people who work there. Every single person was so helpful and went out of their way to help you to enjoy your holiday. Wish I knew all the names to give them a mention.
One in particular who stood out and I got to know his name ‘Raymond’ He went above and beyond to help us with our airport pickup.
Hope I get to spend time in this beautiful place again, it was worth every penny!",Date of stay:
Completely Different than My Last Visit...Exceeded All Expectations!!!,"My family recently (October 2023) stayed Marina Bay Sands (MBS). This was my second stay at MBS (my first was in July 2018), and the level of service my family and I experienced far excelled the service I received during my last visit. Following my 2018 visit, I thought my stay at MBS then was amazing and their service quality was solid (I stayed in one of their Club Rooms then). I could not imagine that the level of service could've improved - but it did!

We chose to stay in one of their newer Family Suite Rooms, and we took advantage of the Family Escapade Package. We were a family of three and we appreciated the extra space, and additional bedroom we had in the suite. The extra touches the suite had with respect to the free snacks for children, in-room books to read, keepsake back-pack, and plush Rori the Lion were nice additions and perfect for our 16.5 month old son.

I would like to especially call-out Ms. Jemcy and her Premium Services Team for making our stay memorable! Ms. Jemcy and her team made everything about our stay very easy. From arranging airport transfers, transport to/from a family photoshoot away from the hotel to arranging late check-out -- they took care of us from the moment we cleared immigration and customs to when we checked-in for our departing flight. Yes, there was also a team at Changi Airport to help with arrival and departure! I thought that the Premium Services Team's use of WhatsApp to communicate service requests was very smart, and it was convenient. I also really appreciated the in-room check-in and in-room check-out that we got, so there was no need to line-up in the queue at all. We were met at the Hotel Entrance when we arrived at the hotel and escorted straight to our suite. When we left, the team was outside our door for a bill review, to help with our luggage, and to make sure we had everything & didn't forget anything in the room.

What was really touching for me and my family was the gift our family was presented with from Ms. Jemcy and her team when we checked-out. We were genuinely surprised and touched!

At the end, my family and I were sad to leave! Ms. Jemcy and her team made everything so easy, all my family and I had to do was create memories to cherish in the years to come.

Thank you again and our family looks forward to staying at MBS again!",Date of stay:
A very efficient hive,"Huge hotel, lots of staff, good service, big cozy rooms, many good restaurants in the compound, and of course the infinity pool on top of the hotel. Overall: an expensive adventure but worth every cent!",Date of stay:
Fantastic hotel,Stayed for two days definitely not enough. Amazing infinity pool and the view were superb. The stay was great and I would suggest everyone to visit when you are in Singapore. Do not waste time looking elsewhere. This is the place to be.,Date of stay:
Perfect stay,"We stayed for a night. The wait to check in was ok and check in staffs were friendly. We stayed in a newly refurbished room in tower 1 and everything looks news. Room is spacious, bed is super comfy (much better than my own bed 😂😂) and the toiletries are from a famous brand. Toilet and bathroom are separated.

The housekeeping staff was very friendly. She greeted and smiled to us. She also asked us if we need more teabags, bottled water or toiletries. We felt the service level was much better compared with last time during covid time.

We are very happy with the stay and will be back next time. 😀",Date of stay:
"As the Saying Goes … “Quality Is Remembered, Long After Price Is Forgotten” … This Team Are A Joy To Experience","We love to travel and experience everything the hospitality trade has to offer around a 4 box model of Service, Atmosphere, Food & Accommodation.

Having stayed and been hosted in some amazing places some of which cannot be listed on sites such as TA/money can not buy, we can HONESTLY say, we have NEVER experienced such an EXCEPTIONAL Customer Experience CX as our stay here at the MARINA BAY SANDS, The team that looked after us were a JOY to watch and see people who are just at the top of their GAME. A team that have clearly seen hospitality as a career and were AMAZING, without a doubt the best hotel experience we have ever had.

You could not help but be impressed by the Attention to Detail, the Skill oh and the ATTENTION TO DETAIL of this team!!!! We have never ever seen something just work so well and not just work, work when it was probably one of the busiest events of the year with the GRAND PRIX! A credit to the leadership and every single employee in the hotel.

We can not think of how we will ever top the experience we had here. The Premium Services Team along with all staff made our trip so special.

Everything was just PERFECT and we will definitely be back!",Date of stay:
Amazing Staycation because of Matthew!,"I had the pleasure of being assisted by Matthew Bartholomeusz during my recent staycation at Marina Bay Sands, and I must commend him for his outstanding service. Navigating the carpark was a daunting task for me as it was my first time driving to MBS. Matthew not only provided clear and calm directions but also went above and beyond to ensure I found my way to the reception.

What stood out to me was his unwavering dedication to guest satisfaction. Not only did he guide me to the reception, but he also personally escorted me all the way to my room, His professionalism and genuine willingness to assist truly made my stay memorable and delightful.

I am incredibly grateful for Matthew's exceptional hospitality and impeccable service. Marina Bay Sands is undoubtedly fortunate to have such a dedicated and courteous staff member. Thank you, Matthew Bartholomeusz, for your exceptional service, which set the perfect tone for my stay and made it an unforgettable experience.",Date of stay:
Amazing experience - Ask for Mr Moe!,"The MBS is a luxurious experience, the rooms and facilities are beautiful and the service is exceptional. The highlight of my stay was the infinity pool. The pool facility and views were amazing, and the service from lifeguard Moe was amazing! Moe was so helpful and gave so many insider tips on things to do. Moe recommended coming back to the pool area to watch the sunrise, which I did on the last morning of my stay. Watching the sunrise while in the jacuzzi spa was one of the most memorable parts of my holiday - thank you so much Moe! Make sure you ask for Moe if you stay here!",Date of stay:
"Amazing Hotel, if you go to Singapore you MUST stay here","We were at Singapore for the F1 weekend. We already had a different hotel but we woke up on a Friday and there was availability at this property. I went and booked the hotel, given it was the F1 weekend we were just happy to be at the hotel and enjoy the infinity pool and the food.

When we arrived (earlier than check-in time) they surprised us with an upgrade to their new renovated rooms. If you go, please make sure you book this room, it was unbeliavable. Anything you might need you will find it within the room, no need to request anything else.

The infinity pool is of course amazing, but so is the food at the rooftop.

If I ever go back to Singapore, I'll make sure I only go If I have a Marina Bay Sands room for my whole stay.",Date of stay:
Great experience as always,"MBS staff Glaiza, Pauline, Alisa and Honey provided the best service when we were there.

In-laws were in Singapore for the first time and were very impressed with the service received by the staff.

Hotel room was big and great. Swimming pool view was breathtaking. Breakfast spread was great.",Date of stay:
