Review Title,Review Text,Date of Stay,Author Contribution,Rating
"Not first time MBS hotel staycation but probably my last, at least for awhile.","I remembered the first time I stayed at MBS hotel. It was my birthday and my husband(then bf) arranged a surprise staycation for me at MBS. Everything was perfect. Then we have this thought to have staycation at MBS for at least once a year. Last year, we have our ROM and Honeymoon staycation at MBS in Aug 2020 and Oct 2020. I can say that was the most memorable stay at MBS. The staff that attended to us auto-upgraded our room to club room for FOC and give us a late check-out. All the staff we met was friendly greeting us(except for the staff at club 55 that served those guest that booked the club room as we are not aware only those guest that ""booked"" the club room is allow to enter the facility and we are given ""FOC"" for the club room so we are not allow to enter, the staff explain that to us with a ""look down on people"" face and tone). But we still enjoyed the staycation as we met many more other friendly staff. In Dec 2020, I arranged a staycation at MBS again to celebrate my husband birthday. During then, the staff attended to us was ok too and try to fulfil on our request. Though we met some unhappiness back then, but the staff tried to rectify the issue quickly for us. But this year, Dec 2021, when I arranged staycation at MBS for my husband birthday, I was very very surprise with all the ""new"" stuff that I am not aware of during my past stay in MBS. Firstly,  the check-out time is 11am(which I am really surprised, as during my past stay, the earliest checkout was 12PM, latest was 1PM).Secondly, the parking is not FOC for guest. For this I swear I really had no idea during my past stay. If not my husband want to confirm and asked me to check with the staff, we could have pay for the parking for this staycation and I am sure the amount is not a small sum. But for this, at least the staff attended to us say she will give us a complimentary parking at last.Thirdly, I indicated that it is a birthday surprise for my husband. I am glad the staff wished my husband ""Happy birthday"" during check-in. But she actually told my husband that they will send a cake to us from 3pm. Which it become not a surprise. Other 4 or 5 stars hotel I stayed before will make this arrangement as a ""surprise"" without informing you in advance. That is the reason why we put it as ""special request"" isn't it?Fourth, the room that was upgraded for us is nothing compared to the one we stayed during our ROM and Honeymoon staycation. But for this, probably we are putting too high expectation from MBS based on our past experienced, hence, was rather disappointed.Fifth, the Covid-19 virus still exist, during last year stay there is plastic vacuum for the cup, towel, amenity to assure the guest for the cleanliness. But I am not sure why this time round there is no such ""safety"" effort.Sixth, the cake that was told will be send to our room was late. I even called the service to check and then they managed to deliver it to us at last close to 10pm. I was really worry it might past my husband birthday by the time they send the cake to our room.I would say the whole experience for the staycation this time make me and my husband felt that what we paid is not worth what we received. There is really nothing special about MBS if I were to compare it with other 5 stars hotel. With this price, probably I can receive a better treatment from other hotel. My husband is even the member of MBS but I would say there is nothing you can expect from MBS even if you are the member of MBS.",December 2021,1,2.0
"Comfortable, Decadent couple stay during Covid","We had a complimentary upgrade and my request for a quiet room was met as it was away from the elevator. The wait till check in was heavily regulated due to Covid but the service was fantastic. I signed up for an MBS membership that same day too. The room was very classy, clean and had a great view of the Gardens by the bay. We booked our pool slot in advance and loved the view from the top too. Despite the ever-changing measures for Covid (we could not dine in at that time), I had to order food as takeaway from restaurants. The food was packed well and I made sure to order it before the dinner crowd arrived. Some of the entrances and exits were a bit confusing though. Having the MBS membership is a plus because it applies to all shops and restaurants in the shoppes and hotel. Would definitely stay again for the air-conditioned  atmosphere (everything is interconnected apart from the gardens) and privacy.",June 2021,30,5.0
Staycation - 2 nights with breakfast and $100 dining credits,"I stayed at marina bay sands for 2 nights. This is a large hotel and there are things to take note of. 1. Booking or pool You can book for a slot at the infinity pool 1 day prior to check in. For our stay. We have 3  slots. 1 slot per day. Each 1 hour 15 mins. You can book all slots at the same time. I would advise you to book earlier as many slots are not available when I tried to book. 2. Check in The check in time is at 3pm. I reached the hotel at 2:45 and have a hard time self parking. In the end I valet park instead. The hotel car parking is surprisingly full with many cars waiting for an empty lot. In the end I was at the check in counter at 3:10. I have to wait for about 15 mins before I check in.  A bit of waiting. 3. RoomThe room is decent. The tv is large but the movie Channels is very poor. Most movies are very old. I have a room on 36th floor at the Tower 3. The view from the room marvelous. 4. PoolMake sure you have slots in the day time and night time. The night view from the pool is very beautiful. with capacity limit the pool is not crowded at all. The entry of the slots is enforced very strictly. 5. BreakfastI have a choice of breakfast in the room, at spago on the 57th floor or ar Rise on the ground floor. I tried spago first. The food is ok and not as good as what they served in Rise. Also the morning sun is very glaring and the table is very low. Not a relaxing breakfast experience. I went very early and do not have to wait to eat or be served. The second breakfast at rise is nicer. But I was there later and have to wait. They are very short staffed and the wait is very very long. Something to bear in mind if you have plans in the mornings after breakfast.",December 2021,127,4.0
Compliment for outstanding staff during check in,Jaevin is highly professional & guest satisfaction orientedHe ensured us a smooth check in & offered help with our bagsThe friendliness & his smile when he greeted us during check in made our dayJaevin is sure an asset to MBSHope this compliment could reach top management & Jaevin could be recognize for his outstanding workJaevin definitely deserve a pat on his back,December 2021,1,5.0
Family Year End Staycation,"It was a 4d3n staycation and the highlight of our stay was the infinity pool! The family was enchanted by the spectacular view overseeing them Singapore skyline and the Marina Bay Area!I thought the excellent customer service of Khali, Leo, Fir, Ramon, Daniel and Kira has exceeded expectations. They assisted us with the towels and greeted us warmly! Their hospitality was commendable and that added to the overall fantastic staycation at MBS!",December 2021,80,5.0
Family Staycation 2021,"It was an Awesome stay. Everyone was warm and friendly. Check-in was smooth. We had breakfast at Rise on 20 Dec 2021,Chong Ming service was excellent. She was attentive and makes us feel welcome. She even check back on us to see if breakfast are all in order. She is an asset to MBS.Well Done MBS and Team",December 2021,6,5.0
Staycation @ MBS (11-13 Dec 2021)-Compliments for Mr Moe (Lifeguard).,"We have met Mr. Moe (Infinity Pool Lifeguard) whom I would say is someone who is full of passion towards his job as he have always been in hospitality industry previous and interacting with international visitors.He’s one of the more friendly, outspoken, helpful and will introduce about the awesomeness about MBS. He helped visitors to take beautiful photos for them to keep as memories, inform you when will be the best time to take photos at the Skypark etc…Despite we have met him only for once, we find him a person who is so passionate about his work, he’s more of a tour guide Cum lifeguard, not many are like him.He’s a GEM to MBS, very sociable and a happy going person we would say.Keep smiling and be happy as always!Take care and stay safe Moe, till we meet again! Regards,Playford Family(Staycation @ MBS, 11-13 Dec 2021)",December 2021,1,5.0
Staycation at Marina Bay Sands,"Our family has a great staycation experience at Marina Bay Sands Hotel.The service was excellent. For housekeeping we are giving the scheduled time  when they can makeup the room even it is already late in the afternoon.  For the infinity pool, the staffs assigned there are very polite and kind. Special mention to Mr. Dennis who made our stay more enjoyable. He made sure that we have all what we need from the towels, water and even the free ice cream that was served. We were all satisfied even there's a limited time for swimming. Thank you MBS and to your friendly and courteous staffs like Mr. Dennis. We will back for sure! More power.",April 2022,5,5.0
Couldn’t wait to stay but was RESTRICTED AF,"Pool rules of 1hr per person per day had just gone. Yet we still had to check in. It was a bit of a mess. We would all line up in the heat and some people couldn’t get the thing to work. Not the best when youve been dying to visit the most iconic pool in the world. We couldn’t get a drink and swim because there are only certain times for that. So had to plan accordingly. Whatever happened to pool side service? I literally only stayed for the pool. The casino was a nightmare. No drinks in sight. That’s changed. You can’t even get a water. One night I went downstairs at 10pm to visit 7/11 and was stopped by security. “CLOSED” but was told by staff it’s open. Hotel check in took forever be aware of this as it eats into pool and dinner time. Checkout is a breeze with the card drop. Room service took 50-80 mins. Spagos service was lovely. If your in the mood for a nice pool, club service and fun go to Royal Park Pickering I stayed there same time in April 22  and rate it more.",April 2022,2,3.0
Highlight of Marina Bay night sky,"Check out the enchanting skyline at night with free music and lights show from Marina Bay Sands. Marina Bay Sands itself is a great destination for shoppers and diners, with its wide variety of eateries and shops, from high end to mass market. Not to forget, there's the casino and lovely hotel rooms with great views of Marina Bay and Gardens by the Bay park",April 2022,3,5.0
Niceeeeeeeeee,"I booked a room with my friends at the Marina Bay Sands Hotel. Before check in, we browsing around the nearby gift shop. Although there were no guests, the staff at the door still received us warmly, which made us a good first impression of the girl and the store. The staff was very measured and just came to help us when we needed. We don't like the staff who always follow you to introduce goods. Due to we were in a hurry to check in, we planned to come back later to buy something. Finally, we asked her name ""Jenny"", hoping to meet this girl again～",May 2022,3,5.0
Best choice for stay in singapore,"We stayed here for 3 nights - Deluxe Sky View Room!Trust me, the only hotel that you should stay in in Singapore is the Marina Bay SandsBeautiful morning and night viewLuxury room with modern furnished furniture Marble tiles bathroomThe rooms are in perfect condition Excellence serviceGreat amenities",April 2022,301,5.0
Best experience in Singapore,"It was my first time in Marina Bay hotel but not my first time in Singapore.  I was in awe and I have been so delighted with how most of the staff took care of me from the moment I arrived. The lady who assisted me in frontdesk (RJ). She took care of everything, she even upgraded my room as i mentioned that it was my first time to stay in that hotel. Everything was perfect and seamless. RJ helped me booked for the swimming pool when she asked if I made a booking already, but i did not. She explained everything that I need even for the pre departure pcr test that we need for my flight. She was extremely helpful and knowledgeable. The restaurants are awesome, and the hotel is very convenient to go for shopping since everything is just a few minutes walk away from the hotel. I wish to come back and I hope that it will be the same experience again. It was perfect. Thank you again, Marina Bay and to RJ",March 2022,2,5.0
A cherished post lockdown holiday,"A wonderful 2 day stay at the MBS. Time spent at the infinity pool with restrictions eased was the highlight. Moe, the lifeguard made the experience all the more memorable. He was a delight to talk to and his recommendation to watch the sunrise capped a memorable experience.",April 2022,6,5.0
Espectacular!,"We stayed for our honeymoon and we had the best experience ever, this place is worth every penny! Special shootout-out to Moe in the Infinity pool! He made sure we had an experience of a lifetime, make sure you ask for him when you’re there!",April 2022,1,5.0
Exceptional service,"From the check in until check out the  service provided was exceptional. We arrived ahead of the scheduled check in time, and although our room was not ready completed the check in, left our luggage and headed out.  Within an hour we had not 1 but 2 calls to say that the room was ready and we could collect our room key. Once we collected our room key we headed to the lifts, and followed the bell hop into the lift with our luggage. Later that day we received a note apologising that the luggage was not in the room before we got there.  Wherever you went in the hotel help was on hand if you needed. I do understand that this is an expensive hotel, but we were impressed.",April 2022,58,5.0
Average stay,"This hotel had been on out list of 'must do's' for a while, however it did not live up to all the hype. The check-in was slow and confusing. At the bar outlets (Ce La Vi & Lavo) the front of house staff were rude and unhelpful. The hotel rooms are big, but the quality is average, and the bathroom could be much better (e.g. rain shower & bath). The Infinity Pool is great, though obviously you have book a slot in advance. Overall a very average experience.",April 2022,145,3.0
One night is not enough,"Stayed one night in transit thru Singapore.   Management team upgraded us to an Orchid suite due to problem with our reservation.  Also we found a cake waiting in our room to help us celebrate our anniversary.  Very thoughtful!  The room was spectacular with a wide view of the marina from a high floor.  We waited about 30 minutes for our check in opportunity.  We used the infinity pool deck and enjoyed our time there watching the sunset, and had some drinks and appetizers.  The pool deck servers were very professional and efficient.   It was a great stay, just too short.  Thanks to the staff of the MBS!",July 2022,8,5.0
Excellent service at Infinity Pool,Love Infinity Pool at Marina Bay Sands! Beautiful views and superior quality service! So friendly and helpful staff! My daughter spent hours in the swimming pool.Big Thanks to lifeguard Moe for taking fabulous photos of my family!Yuliya Medlin,July 2022,7,5.0
You want luxury? Look no further!,"Location - brilliantService - immaculatePrices - very high :)Rooms - incredibleView - awesome (both ways)Pool - infinity, with a bar!Gym - hugeBasically anything you´ve ever wanted from a hotel and then some. It is pricy, but staying there at least once in your life is a must! Once you´re there take advantage from all everything - swim in the pool, go the spa, explore the city and so much more!",July 2022,65,5.0
D whole Experience at Marina Bay Sands,"As always one of the best place to stay in Singapore, one thing that bothered us, we waited very long for checked in, Just hope they Will improve the check In process, but thanks to the counter staff  RJ for upgrading our room, our 17th wedding anniversary were more momentos especially to have a friendly staffs, Jenny from Pool was awesome, and the rest of our stay was really unforgettable including the Rise restaurant  staff who gave us a special cake.Thank u guys",July 2022,1,4.0
Massive and iconic,"We stayed a night in a garden view deluxe room and found it amazing. This is not a hotel, it is a resort with more than 2500 rooms.Still, check in was rather effektive. (They use a lot of time everywhere in Singapore). Rooms were great with good amenties and great views of the gardens and the supertree grove.We spent an intire day first row in the world renowned infinity pool. To be honest - this is why we booked a room here. One thing we did not understand is why the signage told that children had to be above 13 yrs to enter, but a lot of 7-8-9 yr old still splashed around, ruining the experience for other guests. Why???Still - it was an amazing experience and is highly recommended :)",June 2022,664,5.0
Rooftop pool,Beautiful property with unbelievable customer service. The rooftop infinity pool is an absolute must do. Lots and lots of great resturaunts with tons of variety. Three different towers that offer everything imaginable. Can’t wait to go back.,April 2022,54,5.0
Marina Bay Sands infinity pool,"Great experience, beautiful restaurants. Was greatly impressed by MOE whom I met at the infinity pool. Very passionate and knowledgeable about the amenities Singapore had to offer as well as the hotel. Motivated me to catch the amazing sunrise the next day as well as experience the celebrations of the Singaporean national day.Shawn",July 2022,1,4.0
Careful of additional costs!,"I had a set price on my booking, but when I arrive they charged an additional 250> SGD on top of the additional taxes.Just be careful of this scam towards foreigners.Total for the room went from 650 to 950.As much as I explained- they didn't budge, it was 10pm and we just stayed and then left.Bad experience overall for an overpriced room.",July 2022,2,1.0
One of the best hotels in the world,"For some reason this was stuck in drafts we actually visited in December 2019 - here goes again….This hotel, it’s rooms, the staff - everything is simply first class there are no words to describe the pure luxury of the entire package. We upgraded to the club room which was worth every single penny (the food and drink selection along then the amazingly friendly staff (I wish I could remember her name)).  We came for my husband’s 50th which included Malaysia my only regret is we should have skilled Malaysia and stayed at Marina Bay longer.",December 2021,59,5.0
Unforgettable memories,"We were fortunate enough to have a few nights in Singapore at the magestic Marina Bay Sands hotel.The highlight for us was definitely Moe the lifeguard at the incredible infinity pool. He was friendly, attentive and showed genuine care in wanting our family to have the best experience during our stay. He even took some wonderful photos of our family (very rare to have all of us in the picture) and gave some great tips on things to do to enjoy all that this amazing hotel offers. Thank you to everyone at Marina Bay Sands for your professional and friendly staff and a special mention to Moe (from Mia and the rest of our family)",July 2022,3,5.0
highly recommended staffs & their tiptop services,special thanks to lifeguard Mr Moe & Ryan especially Mr Moe. He has all the people elements in providing tiptop service to us ! Mr Moe is always willing to go the extra miles and prioritizes not just the safety of everyone but to ensure everyone enjoys their time there at the pool !,April 2022,4,5.0
5 star excellence,Great hotel. We always stay here while in Singapore. Added bonus to have the mall attached to the hotel. Great restaurants and high end shops. Michelin star restaurants. Long lines for the high end shops. Be prepared to pay more than in Europe. Great tea shop TWG. Well worth a visit!,April 2022,128,5.0
A great getaway for a special occasion with the family,"Perfect (& costly) getaway for the Family. Customer service is excellent given the many service staff everywhere. We are assigned a unit in Tower 1 for our 3 nights stay on the 46th level facing the sea. The view is simply spectacular. Checking in took about 30 minutes on a Sun afternoon but checking out is a breeze. One just need to drop your card keys into the quick checkout stand located outside the lift lobby. Booking for the infinity pool located on level 57 is simple, either via SMS or by scanning the QR code on the check in brochure.  Same goes for the Banyan GYM on level 55 in Tower 2.  Dining in the hotel will set you back by about S$80 to $100 per pax. Comparatively, the food court in basement 2 of the convention centre just opposite the hotel accessible via the underground passage is cheaper.  Bathroom is huge with a standalone bathtub and toothbrushes are replaced everyday.  There are lots of complimentary bottled water, coke, sprite, apple and orange juice that are replenished everyday with the snacks and tea. The coffee maker brewed fresh coffee. Room is huge with lots of mirrors and the sleep quality is good. Bathrobes and house slippers are changed daily too. Last but not least, the hotel surprised us with a slice of complimentary birthday  cake left in the room while we were out celebrating. Kudos for the excellent customer service!!",March 2022,928,5.0
special thanks to lifeguard Mr Moe,"My multiple return visit to mbs for staycation and i would like to thank the lifeguard Mr Moe. While the pool was super crowded due to guests coming in for convention, Mr Moe was very professional in his service. Noticed him helping little kids to swim and he even offered to help me take photos with the best angles of mbs..And his photos turned out great!! Thank you so much 5 stars for Mr Moe!",April 2022,440,5.0
The BEST stay at MBS,"We stayed on the 37th floor of MBS and had stunning views of the gardens and surrounding Bay Area. Outstanding services, particularly at the infinity pool. On of the lifeguards, Moe, went above and beyond for us. From giving tips of the area and creating a makeshift pillow for the sun lounge, to being our dedicated photographer! Can’t recommend enough. Thanks Moe!",March 2022,1,5.0
A must watch in Singapore,A architectural gem of modern times and a must watch for for its beauty. Mersimerising during day and amazing in night. must see when in singapore. View from sky deck are also amazing and comprises a shopping mall which is perhaps the biggest with luxury brand across asia to my knowledge. Host of theme restaurants in the lobby and all towers.,March 2022,314,5.0
Fabulous hotel ... but don't expect to seep on Saturday night!,"The hotel is lovely - we've had fantastic meals in a couple of the restaurants (Spago, Lavo), have been to the infinity pool and had breakfast at Rise. The staff overall have been lovely and super helpful.As with anything, you need to pick your time well if you want to avoid the queues. Just in from Australia, we were in Rise for breakfast at 7am - no queues. We also visited the infinity pool at 9am rather than one of the busier parts of the day. Yes it can be busy but you can plan around it.The downside that you can't plan around, is the behaviour of other guests. On a Saturday night, the hotel is 'party central' with people coming back from other venues and 'kicking on' in their rooms. The music has thumped incessantly from about 3am to 6.15 so far and no signs of it slowing down yet. We'll be back for sure, but probably not to stay the night and definitely not on a Saturday night. Cann me 'old', but I like sleep ...!",March 2022,13,3.0
Amazing location & facility. That’s it though.,"This is an amazing place, the location is incredible and the facility has great amenities. However this is where it begins and ends.Breakfast- wait in a line for up to 10 mins to be seated each morning. Wait in another line for up to 10 mins at most food station. A very uneasy and stressful way to begin your day on a vacation. Staff- perhaps due to covid, bad management or lack of care the staff are generally quite rude. Particularly the staff at the pool area. It’s closer to an asylum rather than a pool. From being greeted with “are you going to your room’ rather than a hello or good morning. Good luck using your own infinity pool also, you’ll need to book each day of your generous 45 mins of pool time at least 1 week In advance. I will say this is not to the valet staff, they were all very friendly and helpful. In room dining- we ordered numerous times and had phone them back again to ask for our change as the staff thought they could take $20 tips for $30 meals. Would never come back here nor recommend this hotel to anybody.",March 2022,6,2.0
Marina Bay Sands Rooftop Bar and Restaurant,"Spent the most fantastic time enjoying the views ,food and drink from afternoon into the evening.Treated like Kings throughout.Everything enhanced by the tireless and genuine attention and service from Bastion,Vera and Kelvin.Bastion also gave us a personal tour around the rooftop and explained the views as well.A lifetime experience.Thanks to all x",March 2022,2,5.0
Fabulous Experience,"We booked a Grand Club garden view room overlooking Gardens by the Bay on one side and overlooking the city from the bathroom. We also had access to Club55 with our room which gave us breakfast here, in Spago or in the regular breakfast area. We also enjoyed an afternoon tea which was included. The suite was truly incredible and the service we received was very professional. We didn’t have to queue for the lifts as others have mentioned. We managed to book 1hr 15 minutes each day of our stay at the pool. There was plenty of slots available which meant we could go in the morning and the evening for photos. The breakfast at Spago was brilliant, the portion sizes are huge and it’s very tasty. The room service options are vast, plenty of options to choose from either Asian influenced dishes, Western dishes or authentic Singaporean dishes. We wanted to stay for the swimming pool and the incredible views, but wasn’t expecting the service to be as good due to the vast size of the hotel but it was honestly faultless. Truly one of the best hotels we’ve visited.",February 2022,28,5.0
Personalised service and exceptional amenities and food,"We were concerned about the scale of the hotel and the number of guests and how that might impact our stay, but from even before reaching the hotel, we were so wonderfully assisted by a personalized check in staff as part of premier check-in services that we didn't need to worry about a thing. The luggage magically came to the room and left the room without us needing to supervise, thanks to the very able luggage staff and the exceptional operational management. It is worth staying in the suites for this premiere experience. Each dining option offered by the hotel is just fabulous, with the stunning views from Club 55, the beautifully crafted cakes and savouries at Renku, and especially the widespread and delicious breakfast selections at Rise. The ease with which the scale of operation at breakfast at Rise is managed is just remarkable. The swimming pool experience was also memorable, and we managed to go at times when the crowds were a little less. The suite itself was beautifully appointed, with all necessities placed in the correct position. The views were stunning..we were lucky to get a corner room for an Orchid suite, which offered both city and garden views with sunset and sunrise views. The large windows with mechanised curtains truly elevate the experience. The bathroom and all its amenities, including the selection of toiletries, was extremely premiere. And it is extremely easy to access the towers, the mall, and the various dining places due to the logical layout of the whole complex. The only thing thing that needs a bit of improvement is the elevator waiting time when exiting the sky deck. Overall, amazing stay and we will come back.",August 2022,52,5.0
Last night in Singapore,I have stayed here 3 times now loved the first 2 visits not so good this time. The hotel is great lovely room and the pool is wonderful unfortunately you now have to book the pool our morning booking didn’t get to poolside but the man on duty kindly let us in.Pool and sky bar are lovely but we were refused entry before leaving for the airport at 5pm were told all tables were booked in spite of it being empty. We were given a bar stool seat and the restaurant remained empty till we left.We had booked a twin room but were given a double/king bed told we had an upgrade with club facilities yet couldn’t use a conference type of room for my daughter to use for some work she had to do.Previously we had breakfast included the high tea and canapés from 5-7pm now this is only included with Suites.Singapore has many beautiful hotels and I would not spend so much money staying at the Sands again Disappointed. Not a very welcoming place anymore,August 2022,22,4.0
Must Stay!!,"Marina Bay Sands is a MUST STAY! Not only is the room cozy, the hotel is smack dab in the center of everything. Everything was in walking distance or a short uber ride. The light shows, the mall & the never ending choice of  foods is the reason we will definitely be back! Also thank you for our front desk check in person, Jia Qi, you were so helpful in setting us up for an incredible stay. We appreciate everything!",August 2022,12,5.0
Short stay,"This was our second visit and was really hoping for a better experience but it was soulless, cold natured, boring and absolutely no vibe. Everything we did as a family was hard, had to make reservations to empty restaurants, hours were bizarre and just seemed like a communist strict dull city. All the gear no idea.",August 2022,1,1.0
It’s a Disney world,It’s a Disney World. You have to wait for everything. You have to pre-register what time you want to check in. You get a ticket and wait for your number to be called just to check in.The pool is cool. But you get only 1.5h a day and you have to register what time you want to access 24h prior. And it’s nothing relaxing. Full of Instagrammers taking photos and the staffs are constantly asking your room numbers to ensure 1.5h limit. The rooms are okay. Service is okay but nothing personal. Never again.,August 2022,13,2.0
Great stop over,"On our way to Bali we stayed one night at the Marina Bay Sands.Everything from check inn to check out was very professional done. The room was very clean and had amazing views of the entire city. The pool ... the pool was just out of this world!! Just amazing!Definitely come back and stay again, maybe on our way back from Bali.",August 2022,1,5.0
Birthday Celebration,"Excellent 4 night stay at this massive 5 star hotel. The amazing roof top infinity swimming pool on 57th floor offers a panoramic view of the city. The observation deck also offers panoramic views of harbour and the city.The check in service was quick and all the staff were very friendly, polite and helpful. The room service was high class. The continental buffet breakfast offers a wide selection of different cuisines with local tropical fruits and juices.",August 2022,111,5.0
Worth it?  YES!!,"Great hotel and great experience.  The staff are very friendly, the hotel and rooms are extremely clean and the views are panoramic.  Overall, Marina Bay Sands is worth the price of staying there at least once.  The infinity pool is almost always open (6am-11pm) and was not crowded at all.  During our stay there, we went to the pool as many times as we could and easily found lounge chairs.  My only complaint is that the pool is not heated so it can get cold especially in the mornings.  The food at the restaurants and the food court was delicious.  The hotel is walking distance from one of the hawker centers (Lau Pa Sat) passing the marina into downtown.  The metro station and bus stops are right there so taking public transportation was not a problem.  We did our own city tour using the MRT with the help of the Concierge who told us where to go, what sites to see, and where to eat.  Overall, an excellent trip.  Will definitely go back!",August 2022,127,5.0
We choose Marina Bay for the swimming pool and for the fact that the place is notorious but we enjoy the time we spent,The staff is very friendly. The restaurants are great The view from 42nd floor is amazing. Many stores inside. It is like a small town. Go to Skypark Observation Deck to enjoy a panoramic vista of the island. The swimming pool is realy amazing.,August 2022,2,5.0
Awesome View,Service for check-in was quick. You will need to register before checking in so that you won't have to wait long. Sms will be sent informing you of your Queue number. We stayed at L51 at Tower 3 with City View. The room is huge with two big tv screens. The view is awesome. In the front is the city view that overlooks the water and on the left is the Garden by the bay view. The infinity pool has great views too. A little crowded but we managed to take some great photos. They were short staff but service is still top notch. The night view is best with lights up from Garden of the Bay as well as the city view. There is no time limit to using the pool.,August 2022,46,4.0
Great views but....,"It seems to be a must do while in the city.  Once you get to the top there are great views but like everything else in Singapore (apart from the trains) it is expensive to eat/drink there.As a visitor you need to pay to get to the top platform but are restricted in the areas you can go to unless you are a resident - as in you cannot go to the infinity pool.  Cost per person is $22SGD/£13/16USD as of February 2020.The views of the city and shoreline are great, it overlooks the F1 circuit and I would consider it a must do on a visit.  If you can afford to stay there you will get much more however as a tourist it should be on your Singapore bucket list.  It is also great to wander around the ground and mall on ground level.",September 2021,254,4.0
Hazel review,"Excellent service Very professional Polite & experienced server Great lounge Good staff Such as Hazel, Kay, Gab. Love to be here.  ❤️❤️❤️❤️❤️❤️❤️❤️❤️I must come back again Good drink choice Good snack Plenty of choices Grt good Good clock",August 2022,1,5.0
The typical must stay at least once kind of hotel,"Stayed here a few times. Nice rooms, nice view, nice pool. It’s convenient as well, with lots of food options in the complex below. Close to other malls in the vicinity too. I liked the pool service best- free ice cream, free drinks. What else can I say?",September 2021,201,5.0
Outstanding view and atmosphere,"Booked a table to celebrate our 10th wedding anniversary. Breath taking views and restaurant. Started with a drink in Ce La Vi then round to the restaurant, for a table on the far decking. The prices are reasonable considering its location. Definitely recommend. We will be back!",August 2022,14,5.0
Great stay,"There was a system glitch at the time of check in and hotel staff was struggling to let guests check in on time at 3 pm. Most of the guests had to stay in the lobby lounge area even after 5 pm and it wasn’t the experience expected after paying $800++ per room per night.However, the reception staff Alice was genuinely concerned about us as we just arrived following a long flight and she noted it was my birthday, she ensured escalating the matter to her manager Lydia who took care of us very well. Both of them ensured that we were taken care of as best as possible while trying to resolve the check in issue beyond their control. Thanks to both of them they turned a very stressful check in to a win by their service and ensured that we had an excellent stay in Marina bay sands.",July 2022,80,5.0
Moe the ICON of MBS 🤩,I travelled with my best friend to Singapore in July for a week and we decided to spoil ourselves and stay at the beautiful Marina Bay Sands hotel. On the 57th floor was the ICONIC infinity pool that had the most amazing views. During our stay we met the very entertaining lifeguard Moe. He honestly made our stay so much fun. Moe was there every day to greet us with a smile and fluff our sun bed pillows 😂 We would joke and livestream so all our family and friends would join in the fun and Moe became the face of our social media lives and so he got the name ICON MOE of MBS 🤩If you are looking for a great time away with 10 ⭐️ service Moe will give you a fun holiday to remember. All our family and friends can’t wait to meet Moe 😍,July 2022,1,5.0
What a stunner,"Wow what an amazing experience. We had booked an orchard suite for 1 night and the hotel went over and above our expectations. Right from check in where we were met by Jasmine and taken to the lounge to check in we knew this was going to be a great time.We were early so took a look around the shoppes shopping mall and was then called when our room was ready.  Our main contact Mac took us to the room and we were blown away by the views and standard of the room.We then visited the infinity pool which was incredible.We then decided to book another night at MBS, due to the upcoming national holiday the suite was not available but Mac sorted it so we had a premium room and he arranged for all of our luggage to be transferred while we visited gardens by the bay.  He took us to our new room and had arranged gifts for us and our children.The hotel is super clean and the TV’s are massive in the rooms. We would come back again next time we are in Singapore.",August 2022,198,5.0
The main man Moe! 5 star service,"Marina Bay Sands is the best hotel we’ve ever stayed at, the rooftop infinity pool is unreal. Big thanks to Moe our lifeguard, camera man and tour guide. He really made our stay personal and is a great man, we hope to see him again on our next trip to Singapore. 5 stars!!!",August 2022,1,5.0
Marina Bay Sands,"The infinity pool is awesome. I recommend the first time to visit the pool at dark, it is just amazing. At sunset is very crowded and in my opinion it is even more impressive in the dark and there is not much going on. From the rooms I was unfortunately a little disappointed, you pay the high price only for the pool, the rest of the hotel is below the renowned 5 star competition.The associated shopping center is also spectacular and one of the largest I have ever seen. Small travel hack in the in-house casino you get drinks, cigarettes and more for free.",May 2022,79,4.0
Best time at this hotel! Pool was the highlight of trip!,"Staying at the Marina Bay Sands hotel in Singapore was amazing! I must say the pool was without a doubt the highlight for my family. Not only was the view breathtaking  and service great but Moe ,one of the lifeguards ,made it one of the most memorable stays I think we’ll ever have. He instantly made sure we had everything we needed, helped take pictures of us and was so helpful in giving us information about the area. We looked forward to seeing him every day we went to the pool!. We can’t wait to go back to see Moe!! What a terrific, kind human being!! You all are very lucky to have him!  Thank you Marina Bay Sands for an amazing time!",July 2022,1,5.0
Great Views and Great Staff,"Booked 2 rooms due to large family and Stayed over the New Year break. Fantastic views from the room. The staff were excellent all the way down to housekeeping. Special call out to my attendant who topped up kids drinks in our mini bar when he saw our horde of munchkins.View from Pool was incredible as was all the food there in general. I would point out to any one trying to stay there over peak periods to book early. This includes dining reservations. Up to a week prior to my stay, all restaurants were already booked out - totally my own fault for not thinking further ahead. On the upside, the room service is incredible and serves pretty much 24 hrs.Would come back for sure.",December 2021,4,5.0
"Excellent hotel & pool, will be back","Top tip: book slots for the pool early! Excellent 3 days 2 nights staycation. We were lucky to have a room on the high floors and view was amazing. Check-in and out we're a breeze. Service staff from the front desk, housekeeping and general staff were friendly and polite.Wifi was free and worked well. Loved that the mini bar was refilled daily, soft drinks, chips, nuts, water and tea replenished 😊Aircon worked well and beds were comfy. My only gripe was that the shower head was fixed and there wasn't a rain shower.",January 2022,19,5.0
